iteration,n_jobs,n_machines,n_resources,estimated_combinations,time_s,success,error,instance_file
1,1,1,0,1,0.0002,True,,artifacts/bruteforce_scale/instance_iter_1_j1_m1_r0.json
2,2,1,0,1,0.0002,True,,artifacts/bruteforce_scale/instance_iter_2_j2_m1_r0.json
3,3,1,0,1,0.0002,True,,artifacts/bruteforce_scale/instance_iter_3_j3_m1_r0.json
4,4,1,0,1,0.0002,True,,artifacts/bruteforce_scale/instance_iter_4_j4_m1_r0.json
5,5,1,1,1,0.0003,True,,artifacts/bruteforce_scale/instance_iter_5_j5_m1_r1.json
6,6,2,1,64,0.012,True,,artifacts/bruteforce_scale/instance_iter_6_j6_m2_r1.json
7,7,2,1,128,0.0287,True,,artifacts/bruteforce_scale/instance_iter_7_j7_m2_r1.json
8,8,2,1,256,0.0639,True,,artifacts/bruteforce_scale/instance_iter_8_j8_m2_r1.json
9,9,3,1,19683,5.8851,True,,artifacts/bruteforce_scale/instance_iter_9_j9_m3_r1.json
10,10,3,2,59049,16.7872,True,,artifacts/bruteforce_scale/instance_iter_10_j10_m3_r2.json
11,11,3,2,177147,63.0383,True,,artifacts/bruteforce_scale/instance_iter_11_j11_m3_r2.json
